id,description,year,dateBegan,daterestoration,respondent,geographicAreas,NERCRegion,tags,beginTime,restorationTime,numCustomersAffected,demandLoss
593,Severe Weather,2011,8/24/2011,8/25/2011,CenterPoint Energy,Texas,TRE,severe weather,07:45:00,06:00:00,79000.0,485.0
594,Public Appeal,2011,8/23/2011,8/23/2011,ERCOT ISO,Texas,TRE,public appeal,15:43:00,19:00:00,0.0,0.0
595,Public Appeal,2011,8/23/2011,8/23/2011,Southwestern Public Service Company,Texas,SPP,public appeal,10:30:00,16:54:00,0.0,0.0
596,Earthquake,2011,8/23/2011,8/23/2011,Dominion Virginia Power,Virginia,RFC,earthquake,13:51:00,13:51:00,0.0,0.0
597,Physical Attack,2011,8/22/2011,8/22/2011,City of Tacoma (TPWR),Washington,WECC,"vandalism, physical",10:05:00,16:00:00,,
598,Severe Weather,2011,8/21/2011,8/23/2011,Puerto Rico Electric Power Authority (PREPA),Puerto Rico,PR,severe weather,22:45:00,22:45:00,931000.0,2200.0
599,Severe Weather,2011,8/20/2011,8/23/2011,"Detroit Edison, Subsidiary of DTE Energy",Michigan,RFC,severe weather,17:42:00,20:00:00,65000.0,254.0
600,Physical Attack,2011,8/18/2011,8/18/2011,City of Tacoma (TPWR),Washington,WECC,"vandalism, physical",09:51:00,16:00:00,,
601,Vandalism,2011,8/15/2011,8/15/2011,PacifiCorp,Utah,WECC,vandalism,02:05:00,03:40:00,0.0,0.0
602,Severe Weather,2011,8/13/2011,8/14/2011,LG&E and KU Energy LLC,Kentucky,SERC,severe weather,16:41:00,19:00:00,181700.0,
603,Vandalism,2011,8/9/2011,8/9/2011,City of Tacoma (TPWR),Washington,WECC,vandalism,10:26:00,17:00:00,,
604,Severe Weather,2011,8/8/2011,8/10/2011,Oklahoma Gas & Electric,Oklahoma,SPP,severe weather,20:58:00,16:30:00,54000.0,
605,Vandalism,2011,8/8/2011,8/8/2011,City of Tacoma (TPWR),Washington,WECC,vandalism,09:35:00,16:00:00,,
606,Electrical System Separation,2011,8/8/2011,8/9/2011,Oklahoma Municipal Power Authority,Oklahoma,SPP,islanding,19:36:00,12:00:00,14500.0,92.0
607,Physical Attack,2011,8/8/2011,8/8/2011,Dayton Power & Light,Ohio,RFC,"vandalism, physical",09:30:00,09:30:00,0.0,0.0
608,Public Appeal,2011,8/4/2011,8/4/2011,American Electric Power (AEP),Texas,SPP,public appeal,10:30:00,16:00:00,,
609,Public Appeal,2011,8/3/2011,8/3/2011,Grand River Dam Authority,Oklahoma,SPP,public appeal,16:29:00,23:40:00,,300.0
610,Public Appeal,2011,8/3/2011,8/3/2011,Entergy,Arkansas,SPP,public appeal,16:30:00,21:00:00,0.0,0.0
611,Fuel Supply,2011,8/3/2011,8/19/2011,AES Somerset LLC,New York,NPCC,"fuel supply emergency, coal",10:00:00,10:00:00,,675.0
612,Severe Weather,2011,8/2/2011,8/3/2011,Exelon Corporation/ComEd,Illinois,RFC,severe weather,21:30:00,19:00:00,71500.0,
613,Public Appeal,2011,8/2/2011,8/3/2011,Oklahoma Gas & Electric,Oklahoma,SPP,public appeal,10:15:00,09:16:00,,
614,Public Appeal,2011,8/1/2011,8/5/2011,ERCOT ISO,Texas,TRE,public appeal,15:00:00,19:00:00,0.0,0.0
615,Vandalism,2011,8/1/2011,8/1/2011,PacificCorp,Oregon,WECC,vandalism,14:18:00,14:18:00,,
616,Vandalism,2011,7/29/2011,7/29/2011,City of Tacoma (TPWR),Washington,WECC,vandalism,11:46:00,17:00:00,,
617,Severe Weather,2011,7/29/2011,8/1/2011,FirstEnergy Corp: Jersey Central Power & Light,New Jersey,RFC,severe weather,20:45:00,04:24:00,67900.0,
618,Vandalism,2011,7/28/2011,7/28/2011,City of Tacoma (TPWR),Washington,WECC,vandalism,19:25:00,19:25:00,,
619,Vandalism,2011,7/28/2011,7/28/2011,Northern Indiana Public Service Company (NIPSCO),Indiana,RFC,vandalism,13:32:00,13:32:00,,
620,Severe Weather,2011,7/28/2011,7/29/2011,Exelon Corporation/ComEd,Indiana,RFC,severe weather,00:14:00,12:00:00,201000.0,
621,Fuel Supply,2011,7/28/2011,7/29/2011,Owensboro Municipal Utilities,Kentucky,SERC,"fuel supply emergency, coal",07:26:00,07:26:00,,
622,Vandalism,2011,7/27/2011,7/27/2011,Tacoma Power (TPWR),Washington,WECC,vandalism,12:07:00,12:08:00,,
623,Vandalism,2011,7/26/2011,7/26/2011,Western Farmers Electric Cooperative,Oklahoma,SPP,vandalism,12:01:00,12:01:00,0.0,0.0
624,Vandalism,2011,7/24/2011,7/24/2011,Public Service of NH (Northeast Utilities),New Hampshire,NPCC,vandalism,14:34:00,15:47:00,0.0,0.0
625,Severe Weather,2011,7/23/2011,7/24/2011,Exelon Corporation/ComEd,Illinois,RFC,severe weather,02:30:00,09:00:00,169000.0,
626,Public Appeal,2011,7/22/2011,7/22/2011,Niagara Mohawk Power Corporation (dba National Grid),New York,NPCC,public appeal,11:00:00,18:00:00,,
627,Firm Load,2011,7/22/2011,7/22/2011,PJM Interconnection,Ohio,RFC,load shedding,11:34:00,17:26:00,23000.0,206.0
628,Public Appeal,2011,7/21/2011,7/21/2011,City Water Light and Power,Illinois,SERC,public appeal,13:00:00,15:00:00,,
629,Public Appeal,2011,7/21/2011,7/22/2011,Consumers Energy,Michigan,RFC,public appeal,12:32:00,06:30:00,,8881.0
630,Vandalism,2011,7/20/2011,7/20/2011,Tacoma Power (TPWR),Washington,WECC,vandalism,09:10:00,16:30:00,,
631,Vandalism,2011,7/19/2011,7/19/2011,Central Maine Power Company,Maine,NPCC,vandalism,11:45:00,15:00:00,,
632,Severe Weather,2011,7/18/2011,7/24/2011,"Detroit Edison, Subsidiary of DTE Energy",Michigan,RFC,severe weather,17:00:00,13:30:00,197166.0,
633,Public Appeal,2011,7/14/2011,7/14/2011,ERCOT ISO,Texas,TRE,public appeal,11:00:00,19:00:00,0.0,0.0
634,Firm Load,2011,7/13/2011,7/13/2011,Public Service Company of Colorado,Colorado,WECC,load shedding,17:19:00,22:03:00,,580.0
635,Physical Attack,2011,7/12/2011,7/12/2011,Gen On,California,WECC,"vandalism, physical",20:20:00,21:30:00,,
636,Vandalism,2011,7/12/2011,7/12/2011,Central Maine Power Company,Maine,NPCC,vandalism,12:00:00,12:00:00,0.0,
637,Severe Weather,2011,7/11/2011,7/12/2011,American Electric Power (AEP),Indiana,RFC,severe weather,14:27:00,15:50:00,120000.0,
638,Vandalism,2011,7/11/2011,7/11/2011,Central Maine Power Company,Maine,NPCC,vandalism,13:30:00,13:30:00,0.0,
639,Vandalism,2011,7/11/2011,7/11/2011,Duke Energy,Ohio,RFC,vandalism,13:13:00,13:13:00,0.0,0.0
640,Severe Weather,2011,7/11/2011,7/11/2011,"Detroit Edison, Subsidiary of DTE Energy",Michigan,RFC,severe weather,09:00:00,10:25:00,103000.0,254.0
641,Severe Weather,2011,7/11/2011,7/11/2011,Exelon Corporation/ComEd,Illinois,RFC,severe weather,09:00:00,09:00:00,500000.0,
642,Severe Weather,2011,7/11/2011,7/12/2011,Consumers Energy,Michigan,RFC,severe weather,11:15:00,08:15:00,85000.0,
643,Vandalism,2011,7/8/2011,7/8/2011,Minnesota Power,Minnesota,MRO,vandalism,10:00:00,10:00:00,0.0,0.0
644,Cyber Attack,2011,7/8/2011,7/11/2011,PJM Interconnection,Pennsylvania,RFC,"vandalism, cyber",10:00:00,09:00:00,,
645,Vandalism,2011,7/6/2011,7/6/2011,ISO New England,Vermont,NPCC,vandalism,09:51:00,09:52:00,,
646,Vandalism,2011,7/5/2011,7/5/2011,PacifiCorp,Utah,WECC,vandalism,10:40:00,11:37:00,0.0,0.0
647,Severe Weather,2011,7/4/2011,7/4/2011,Dominion Virginia Power,Virginia,SERC,severe weather,18:00:00,21:00:00,51580.0,150.0
648,Severe Weather,2011,7/2/2011,7/6/2011,"Detroit Edison, Subsidiary of DTE Energy",Michigan,RFC,severe weather,20:15:00,22:00:00,182000.0,
649,Vandalism,2011,7/1/2011,7/1/2011,Dayton Power & Light,Ohio,RFC,vandalism,16:38:00,22:38:00,0.0,
650,Severe Weather,2011,7/1/2011,7/3/2011,Xcel Energy Northern States Power Company,Minnesota,MRO,severe weather,17:00:00,20:00:00,70000.0,
651,Vandalism,2011,7/1/2011,7/1/2011,ISO New England,Connecticut,NPCC,vandalism,08:00:00,08:01:00,0.0,0.0
652,System Interruption,2011,6/30/2011,6/30/2011,Salt River Project,Arizona,WECC,load shedding,14:11:00,23:25:00,160000.0,5299.0
653,Vandalism,2011,6/30/2011,6/30/2011,Tacoma Power (TPWR),Washington,WECC,vandalism,22:31:00,22:31:00,0.0,0.0
654,Severe Weather,2011,6/30/2011,7/1/2011,Exelon Corporation/ComEd,Illinois,RFC,severe weather,22:30:00,17:00:00,121000.0,
655,Public Appeal,2011,6/29/2011,6/29/2011,Southwestern Public Service,Texas,SPP,public appeal,11:30:00,18:04:00,0.0,0.0
656,Public Appeal,2011,6/27/2011,6/27/2011,ERCOT ISO,Texas,TRE,public appeal,15:00:00,19:00:00,0.0,0.0
657,Vandalism,2011,6/27/2011,6/27/2011,City of Tacoma (TPWR),Washington,WECC,vandalism,18:55:00,18:55:00,,
658,Severe Weather,2011,6/27/2011,6/29/2011,AMEREN,Illinois,SERC,"severe weather, thunderstorm",00:00:00,01:00:00,80000.0,
659,Severe Weather,2011,6/26/2011,6/27/2011,Southern Company,Alabama,SERC,"severe weather, thunderstorm",18:00:00,13:00:00,90160.0,300.0
660,Public Appeal,2011,6/26/2011,6/27/2011,Sunflower Electric Power Corporation,Kansas,SPP,public appeal,16:46:00,07:59:00,,
661,Severe Weather,2011,6/24/2011,6/25/2011,Southern Company,Alabama,SERC,"severe weather, thunderstorm",18:30:00,01:30:00,102275.0,340.0
662,Vandalism,2011,6/23/2011,6/23/2011,ISO New England/Velco,Vermont,NPCC,vandalism,08:10:00,09:00:00,0.0,0.0
663,Vandalism,2011,6/22/2011,6/22/2011,Tacoma Power (TPWR),Washington,WECC,vandalism,20:12:00,20:12:00,0.0,0.0
664,Severe Weather,2011,6/22/2011,6/22/2011,Tennessee Valley Authority (TVA),Tennessee,SERC,severe weather,09:46:00,09:46:00,106300.0,
665,Severe Weather,2011,6/22/2011,6/23/2011,Southern Company,Alabama,SERC,"severe weather, thunderstorm",19:00:00,01:00:00,75101.0,316.0
666,Severe Weather,2011,6/21/2011,6/22/2011,American Electric Power (AEP),Unknown,RFC,severe weather,18:30:00,07:00:00,56000.0,
667,Severe Weather,2011,6/21/2011,6/23/2011,Exelon Corporation/ComEd,Illinois,RFC,"severe weather, thunderstorm",21:45:00,02:00:00,300000.0,
668,Vandalism,2011,6/20/2011,6/20/2011,Tacoma Power (TPWR),Washington,WECC,vandalism,10:36:00,10:36:00,0.0,0.0
669,Public Appeal,2011,6/18/2011,6/20/2011,West Memphis Utilities,Arkansas,SPP,public appeal,16:45:00,23:59:00,,
670,Severe Weather,2011,6/18/2011,6/18/2011,Duke Energy Carolinas,North Carolina,SERC,"severe weather, thunderstorm",17:00:00,21:33:00,70000.0,300.0
671,Severe Weather,2011,6/18/2011,6/19/2011,Southern Company,Georgia,SERC,"severe weather, thunderstorm",15:30:00,15:42:00,93828.0,312.0
672,Vandalism,2011,6/15/2011,6/16/2011,PacifiCorp,Idaho,WECC,vandalism,16:00:00,06:30:00,,
673,Severe Weather,2011,6/15/2011,6/16/2011,Southern Company,Georgia,SERC,"severe weather, thunderstorm",19:15:00,06:00:00,169000.0,563.0
674,Severe Weather,2011,6/15/2011,6/16/2011,Duke Energy,North Carolina,SERC,"severe weather, thunderstorm",19:17:00,01:45:00,70135.0,300.0
675,Severe Weather,2011,6/12/2011,6/12/2011,Dominion Virginia Power,Virginia,RFC,"severe weather, thunderstorm",19:00:00,20:30:00,56000.0,250.0
676,Physical Attack,2011,6/9/2011,6/9/2011,Southern California Edison (SCE),California,WECC,"vandalism, physical",14:15:00,14:15:00,0.0,0.0
677,Severe Weather,2011,6/9/2011,6/10/2011,ISO New England/Northeast Utilities,Connecticut,NPCC,"severe weather, thunderstorm",17:51:00,12:00:00,100000.0,0.0
678,Severe Weather,2011,6/9/2011,6/9/2011,Exelon Corporation/ComEd,Illinois,RFC,"severe weather, thunderstorm",04:30:00,12:00:00,169000.0,
679,Vandalism,2011,6/8/2011,6/8/2011,Tacoma Power (TPWR),Washington,WECC,vandalism,12:58:00,12:58:00,,
680,Severe Weather,2011,6/7/2011,6/8/2011,American Electric Power,Ohio,RFC,severe weather,14:00:00,06:00:00,52747.0,
681,Public Appeal,2011,6/6/2011,6/8/2011,West Memphis Utilities,Arkansas,SPP,public appeal,15:00:00,15:00:00,13000.0,
682,Firm Load,2011,6/6/2011,6/6/2011,El Paso Electric Company,Texas,SPP,load shedding,00:13:00,03:15:00,162000.0,450.0
683,Electrical System Separation,2011,6/5/2011,6/5/2011,Pacific Gas and Electric,California,WECC,islanding,20:02:00,20:55:00,5314.0,10.0
684,Severe Weather,2011,6/5/2011,6/6/2011,CenterPoint Energy,Texas,TRE,"severe weather, thunderstorm",05:30:00,01:30:00,78000.0,473.0
685,Vandalism,2011,6/4/2011,6/4/2011,Pacific Gas and Electric,California,WECC,vandalism,01:17:00,03:25:00,420.0,
686,Severe Weather,2011,6/2/2011,6/4/2011,South Carolina Electric and Gas,North Carolina,SERC,severe weather,23:45:00,16:00:00,50465.0,0.0
687,Severe Weather,2011,5/29/2011,5/31/2011,Consumers Energy,Michigan,RFC,severe weather,18:30:00,22:00:00,113000.0,250.0
688,Severe Weather,2011,5/26/2011,5/27/2011,PPL Electric Utilities,Pennsylvania,RFC,severe weather,19:56:00,18:00:00,120001.0,150.0
689,Transmission Equipment,2011,5/26/2011,5/26/2011,Greenwood Utilities Commission,Mississippi,SERC,transmission interruption,01:00:00,06:00:00,10000.0,30.0
690,Severe Weather,2011,5/26/2011,5/28/2011,Southern Company,Georgia,SERC,severe weather,18:30:00,04:44:00,218783.0,729.0
691,Severe Weather,2011,5/25/2011,5/28/2011,Duke Energy Midwest,Indiana,RFC,severe weather,22:14:00,11:00:00,141000.0,200.0
692,Severe Weather,2011,5/24/2011,5/26/2011,Oklahoma Gas & Electric,Oklahoma,SPP,severe weather,16:45:00,17:00:00,54000.0,
693,Severe Weather,2011,5/24/2011,5/25/2011,Dominion Virginia Power,Virginia,SERC,severe weather,16:35:00,12:40:00,175000.0,790.0
694,Physical Attack,2011,5/24/2011,5/25/2011,Edison Mission Generation (Fisk Station),Illinois,RFC,"vandalism, physical",09:00:00,09:10:00,0.0,0.0
695,Severe Weather,2011,5/23/2011,5/25/2011,Duke Energy Midwest,Indiana,RFC,severe weather,16:45:00,23:59:00,215387.0,1024.0
696,Severe Weather,2011,5/23/2011,5/25/2011,Ameren,Missouri,SERC,severe weather,12:30:00,12:30:00,70000.0,
697,Severe Weather,2011,5/22/2011,5/31/2011,Empire District Electric,Missouri,SPP,severe weather,17:09:00,12:01:00,20000.0,200.0
698,Physical Attack,2011,5/21/2011,5/22/2011,"Terra-Gen Dixie Valley, LLC",Nevada,WECC,"vandalism, physical",17:00:00,18:34:00,,56.0
699,Vandalism,2011,5/13/2011,5/13/2011,PacifiCorp,Utah,WECC,vandalism,06:00:00,06:00:00,0.0,0.0
700,Severe Weather,2011,5/11/2011,5/11/2011,Duke Energy Carolinas,North Carolina,SERC,severe weather,00:15:00,17:20:00,71000.0,300.0
701,Vandalism,2011,5/11/2011,5/12/2011,Minnesota Power,Minnesota,MRO,vandalism,15:55:00,13:57:00,0.0,0.0
702,Vandalism,2011,5/11/2011,5/11/2011,PacifiCorp,Wyoming,WECC,vandalism,13:35:00,13:35:00,0.0,0.0
703,Vandalism,2011,5/11/2011,5/11/2011,Central Hudson Gas & Electric Corp.,New York,NPCC,vandalism,11:00:00,11:30:00,0.0,0.0
704,Vandalism,2011,5/10/2011,5/10/2011,ISO New England,New Hampshire,NPCC,vandalism,13:45:00,15:00:00,0.0,0.0
705,Severe Weather,2011,5/10/2011,5/11/2011,American Electric Power,West Virginia,RFC,severe weather,22:21:00,14:25:00,58000.0,
706,Electrical System Separation,2011,5/10/2011,5/11/2011,Midwest Independent System Operator (MISO),Michigan,RFC,"load shedding, islanding",03:25:00,14:10:00,78213.0,585.0
707,Vandalism,2011,5/9/2011,5/9/2011,Public Service of New Hampshire,New Hampshire,NPCC,vandalism,13:11:00,13:11:00,0.0,0.0
708,Physical Attack,2011,5/9/2011,5/9/2011,"Exelon Generation Company, LLC",Pennsylvania,RFC,"vandalism, physical",04:08:00,06:40:00,,630.0
709,Vandalism,2011,5/8/2011,5/8/2011,"Castleton Power, LLC",New York,NPCC,vandalism,19:35:00,19:35:00,0.0,
710,Vandalism,2011,5/6/2011,5/6/2011,PacifiCorp,Oregon,WECC,vandalism,06:56:00,10:30:00,0.0,0.0
711,Vandalism,2011,5/5/2011,5/5/2011,ISO New England,New Hampshire,NPCC,vandalism,09:15:00,09:15:00,0.0,0.0
712,Sabotage,2011,5/4/2011,5/4/2011,"ITC Holdings, Inc.",Michigan,RFC,vandalism,12:20:00,15:40:00,0.0,0.0
713,Physical Attack,2011,5/4/2011,5/4/2011,FirstEnergy Generation,Maryland,RFC,"vandalism, physical",13:08:00,13:25:00,0.0,0.0
714,Physical Attack,2011,5/3/2011,5/5/2011,New York Power Authority,New York,NPCC,"vandalism, physical",12:00:00,12:00:00,0.0,0.0
715,Severe Weather,2011,5/2/2011,5/2/2011,Hawaiian Electric Company,Hawaii,PR,severe weather,17:06:00,20:00:00,62000.0,220.0
716,Physical Attack,2011,5/2/2011,5/2/2011,The United Illuminating Company,Connecticut,NPCC,"vandalism, physical",14:00:00,14:00:00,0.0,0.0
717,Vandalism,2011,5/2/2011,5/2/2011,PacifiCorp,Utah,WECC,vandalism,08:52:00,10:46:00,0.0,0.0
718,Severe Weather,2011,4/28/2011,4/30/2011,FirstEnergy Service Company,Ohio,RFC,severe weather,05:00:00,18:30:00,86000.0,
719,Equipment Malfunction,2011,4/28/2011,4/28/2011,"Mesquite Power, LLC",Arizona,WECC,equipment failure,16:09:00,16:10:00,,960.0
720,Severe Weather,2011,4/27/2011,4/29/2011,Tennessee Valley Authority,Tennessee,SERC,severe weather,10:00:00,16:29:00,612000.0,
721,Severe Weather,2011,4/27/2011,5/2/2011,Southern Company,Mississippi,SERC,severe weather,08:00:00,16:03:00,426640.0,1422.0
722,Severe Weather,2011,4/27/2011,4/28/2011,American Electric Power,Tennessee,SERC,severe weather,22:00:00,10:00:00,69000.0,0.0
723,Severe Weather,2011,4/26/2011,4/28/2011,West Memphis Utilities,Arkansas,SPP,severe weather,18:14:00,17:00:00,13000.0,50.0
724,Vandalism,2011,4/26/2011,4/26/2011,PacifiCorp,Utah,WECC,vandalism,13:04:00,14:00:00,0.0,0.0
725,Severe Weather,2011,4/26/2011,4/27/2011,Entergy Corporation,Louisiana,SPP,severe weather,05:49:00,09:59:00,,120.0
726,Severe Weather,2011,4/26/2011,4/28/2011,Tennessee Valley Authority,Tennessee,SERC,severe weather,09:51:00,09:51:00,55000.0,
727,Severe Weather,2011,4/25/2011,4/27/2011,Entergy Corporation,Mississippi,SPP,severe weather,17:30:00,18:00:00,141700.0,
728,Equipment Malfunction,2011,4/25/2011,4/25/2011,Tennessee Valley Authority,Tennessee,SERC,equipment failure,16:33:00,17:19:00,,140.0
729,Severe Weather,2011,4/22/2011,4/22/2011,Ameren,Missouri,SERC,severe weather,21:00:00,23:00:00,55000.0,0.0
730,Suspicious Activity,2011,4/21/2011,4/29/2011,ITC Holdings,Michigan,RFC,vandalism,19:00:00,19:05:00,,
731,Vandalism,2011,4/21/2011,4/21/2011,PacifiCorp,Utah,WECC,vandalism,07:15:00,16:50:00,0.0,0.0
732,Severe Weather,2011,4/20/2011,4/21/2011,Duke Energy Midwest,Indiana,RFC,"severe weather, wind",02:00:00,12:00:00,165711.0,
733,Equipment Malfunction,2011,4/20/2011,4/20/2011,City of Ruston & Constellation Energy,Louisiana,SERC,equipment failure,08:07:00,08:14:00,11000.0,33.0
734,Severe Weather,2011,4/19/2011,4/19/2011,Ameren Illinois,Illinois,SERC,severe weather,20:00:00,22:00:00,80000.0,
735,Severe Weather,2011,4/19/2011,4/20/2011,Constellation Energy Control and Dispatch,Arkansas,SERC,severe weather,23:13:00,19:14:00,,22.0
736,Severe Weather,2011,4/19/2011,4/21/2011,Tennessee Valley Authority,Tennessee,SERC,severe weather,23:02:00,17:32:00,105000.0,300.0
737,Vandalism,2011,4/19/2011,4/19/2011,Tacoma Power Water Rail (TPWR),Washington,WECC,vandalism,14:01:00,16:04:00,0.0,0.0
738,Severe Weather,2011,4/19/2011,4/20/2011,Memphis Light Gas and Water Division,Tennessee,SERC,severe weather,22:44:00,02:00:00,64000.0,100.0
739,Severe Weather,2011,4/16/2011,4/17/2011,Progress Energy Carolinas Inc,North Carolina,SERC,severe weather,14:16:00,16:30:00,220000.0,
740,Suspicious Activity,2011,4/11/2011,4/11/2011,PacifiCorp,Utah,WECC,vandalism,17:40:00,17:51:00,0.0,0.0
741,Vandalism,2011,4/6/2011,4/6/2011,Delmarva Power & Light Company,Delaware,RFC,vandalism,10:50:00,10:50:00,0.0,0.0
742,Severe Weather,2011,4/5/2011,4/7/2011,Duke Energy Carolinas,North Carolina,SERC,severe weather,02:00:00,23:00:00,256000.0,1200.0
743,Severe Weather,2011,4/4/2011,4/5/2011,Southern Company,Mississippi,SERC,severe weather,21:00:00,23:30:00,303434.0,674.0
744,Severe Weather,2011,4/4/2011,4/5/2011,Entergy Corporation,Texas,SERC,severe weather,19:00:00,20:00:00,74645.0,
745,Severe Weather,2011,4/4/2011,4/5/2011,American Electric Power (AEP),West Virginia,RFC,severe weather,19:00:00,12:00:00,52920.0,
746,Severe Weather,2011,4/4/2011,4/8/2011,Tennessee Valley Authority,Tennessee,SERC,severe weather,14:00:00,00:01:00,73000.0,300.0
747,Severe Weather,2011,4/4/2011,4/8/2011,Tennessee Valley Authority,Tennessee,SERC,severe weather,11:47:00,00:01:00,63000.0,359.0
748,Severe Weather,2011,4/4/2011,4/5/2011,Memphis Light Gas and Water Division,Tennessee,SERC,severe weather,13:00:00,00:00:00,63000.0,300.0
749,Cyber Attack,2011,4/3/2011,4/5/2011,Entergy Corporation,Unknown,SERC,"vandalism, cyber",20:23:00,15:00:00,0.0,0.0
750,Severe Weather,2011,3/31/2011,4/1/2011,Progress Energy Florida (PEF),Florida,FRCC,severe weather,14:30:00,23:59:00,50000.0,
751,Severe Weather,2011,3/31/2011,3/31/2011,Tampa Electric Company,Florida,FRCC,severe weather,11:30:00,20:30:00,87000.0,206.0
752,Transmission Equipment,2011,3/27/2011,3/27/2011,Pacific Gas and Electric,California,WECC,transmission interruption,13:27:00,17:00:00,165000.0,295.0
753,Severe Weather,2011,3/23/2011,3/24/2011,American Electric Power - AEP,Indiana,RFC,"severe weather, storm",18:30:00,04:55:00,60596.0,
754,Severe Weather,2011,3/21/2011,3/21/2011,Southern California Edison Company (SCE),California,WECC,"severe weather, storm",12:35:00,14:45:00,54332.0,150.0
755,Vandalism,2011,3/21/2011,3/21/2011,ISO New England,New Hampshire,NPCC,vandalism,00:57:00,02:29:00,,
756,Severe Weather,2011,3/20/2011,3/21/2011,Los Angeles Department of Water and Power,California,WECC,"severe weather, storm",09:44:00,10:00:00,79000.0,
757,Severe Weather,2011,3/19/2011,3/24/2011,Pacific Gas and Electric,California,WECC,"severe weather, storm",23:56:00,19:10:00,128000.0,91.0
758,Vandalism,2011,3/18/2011,3/18/2011,Dayton Power & Light,Ohio,RFC,vandalism,09:54:00,15:34:00,,
